가감	ㄱㅏㄱㅏㅁ	더하거나 뺌.
가판	ㄱㅏㅍㅏㄴ	인쇄하기 전에 인쇄할 판을 인쇄기 위에 페이지 순서대로 정리하는 것.
가풍	ㄱㅏㅍㅜㅇ	한 집안 대대로 지켜온 풍습이나 생활 규범.
가필	ㄱㅏㅍㅣㄹ	글이나 문서를 부분적으로 고쳐 씀.
가학	ㄱㅏㅎㅏㄱ	심하고 잔인하게 괴롭힘.
가해	ㄱㅏㅎㅏㅣ	물리적으로나 정신적으로 다른 사람에게 해를 줌.
가훈	ㄱㅏㅎㅜㄴ	한 집안의 자손들에게 윤리적 기준이 되는 가르침.
각고	ㄱㅏㄱㄱㅗ	무엇을 이루기 위해 어려움을 견디며 무척 힘을 씀.
각기	ㄱㅏㄱㄱㅣ	각각의 사람. 또는 각각의 것.
각도	ㄱㅏㄱㄷㅗ	같은 지점에서 시작되는 두 개의 직선이나 평면이 벌어진 정도.
각료	ㄱㅏㄱㄹㅛ	내각을 구성하는 장관.
각부	ㄱㅏㄱㅂㅜ	하나의 단위를 이루는 각각의 부분.
각서	ㄱㅏㄱㅅㅓ	상대방에게 약속을 지키겠다는 내용을 적은 문서.
각시	ㄱㅏㄱㅅㅣ	갓 결혼한 젊은 여자.
각오	ㄱㅏㄱㅇㅗ	앞으로 겪을 힘든 일에 대한 마음의 준비.
각자	ㄱㅏㄱㅈㅏ	각각의 사람. 또는 각각 자기 자신.
각주	ㄱㅏㄱㅈㅜ	글의 본문 가운데 어떤 부분의 뜻을 보충하려고 아래쪽에 따로 덧붙인 설명.
각지	ㄱㅏㄱㅈㅣ	여러 지역.
각처	ㄱㅏㄱㅊㅓ	여러 곳.
각파	ㄱㅏㄱㅍㅏ	각각의 부류.
각하	ㄱㅏㄱㅎㅏ	법에서 소장이나 신청을 거절함.
간교	ㄱㅏㄴㄱㅛ	자기의 이익을 위해 남을 속이고 해치려는 나쁜 꾀. 또는 그러한 꾀를 부리는 것.
간부	ㄱㅏㄴㅂㅜ	기관이나 조직에서 핵심적인 위치에 있는 사람.
간사	ㄱㅏㄴㅅㅏ	다른 꿍꿍이가 있어서 거짓으로 남의 비위를 맞추려는 성질.
간수	ㄱㅏㄴㅅㅜ	물건을 잘 보관함.
간여	ㄱㅏㄴㅇㅕ	남의 일에 끼어들어 참견함.
간이	ㄱㅏㄴㅇㅣ	기본적인 것만을 갖추어 간단하고 편리함.
간조	ㄱㅏㄴㅈㅗ	바다에서 바닷물이 빠져나가 바닷물의 높이가 가장 낮아진 상태.
간주	ㄱㅏㄴㅈㅜ	무엇이 어떠하다고 생각되거나 여겨짐.
간지	ㄱㅏㄴㅈㅣ	동양에서 십간과 십이지를 조합하여 만든 육십 개의 순서.
간파	ㄱㅏㄴㅍㅏ	겉으로 드러나지 않은 점을 꿰뚫어 알아차림.
간호	ㄱㅏㄴㅎㅗ	아픈 사람을 보살핌.
갈구	ㄱㅏㄹㄱㅜ	무엇을 간절히 바라고 원함.
갈기	ㄱㅏㄹㄱㅣ	말이나 사자 등의 목과 등에 난 긴 털.
갈비	ㄱㅏㄹㅂㅣ	음식의 재료로 쓰이는 소, 돼지, 닭 등의 가슴뼈와 거기에 붙은 살. 또는 그것으로 만든 음식.
갈이	ㄱㅏㄹㅇㅣ	낡거나 못 쓰게 된 부분을 새것으로 바꾸는 일.
갈치	ㄱㅏㄹㅊㅣ	길고 납작한 모양의 은백색의 바닷물고기.
갈피	ㄱㅏㄹㅍㅣ	겹쳐 있거나 포개져 있는 물건의 하나하나의 사이.
감기	ㄱㅏㅁㄱㅣ	보통 기침, 콧물, 두통, 오한의 증상이 있는, 전염성이 있는 병.
감도	ㄱㅏㅁㄷㅗ	자극에 대해 느끼는 정도.
감리	ㄱㅏㅁㄹㅣ	건축이나 공사 등을 감독하고 관리함.
감사	ㄱㅏㅁㅅㅏ	고맙게 여김. 또는 그런 마음.
감소	ㄱㅏㅁㅅㅗ	양이나 수가 줄어듦. 또는 양이나 수를 줄임.
감수	ㄱㅏㅁㅅㅜ	괴롭고 힘든 일을 달갑게 받아들임.
감시	ㄱㅏㅁㅅㅣ	사람을 단속하거나 상황을 통제하기 위하여 주의 깊게 지켜봄.
감자	ㄱㅏㅁㅈㅏ	껍질은 연한 갈색이며 속은 연한 노란색인, 땅속에서 자라는 둥근 덩이 모양의 줄기.
감주	ㄱㅏㅁㅈㅜ	엿기름 우린 물에 밥을 넣어 삭힌 후 설탕을 넣고 끓여 만드는, 단맛의 한국 전통 음료.
감지	ㄱㅏㅁㅈㅣ	느끼어 앎.
감초	ㄱㅏㅁㅊㅗ	한방 재료로 널리 쓰이는 단맛의 풀. 또는 그 뿌리.
감투	ㄱㅏㅁㅌㅜ	(옛날에) 머리에 쓰던 말총, 가죽, 헝겊 등으로 만든 작은 모자.
감호	ㄱㅏㅁㅎㅗ	감독하고 보호함.
갑부	ㄱㅏㅂㅂㅜ	대단한 큰 부자.
갑주	ㄱㅏㅂㅈㅜ	갑옷과 투구.
강가	ㄱㅏㅇㄱㅏ	강 가장자리의 땅이나 그 근처.
강구	ㄱㅏㅇㄱㅜ	어떤 문제를 해결할 방법을 찾음.
강도	ㄱㅏㅇㄷㅗ	쇠붙이 등의 단단하고 센 정도.
강보	ㄱㅏㅇㅂㅗ	어린 아이를 업을 때 사용하는 작은 이불.
강사	ㄱㅏㅇㅅㅏ	강연회에서 강연을 하는 사람.
강수	ㄱㅏㅇㅅㅜ	정도가 지나친 강력한 방법.
강시	ㄱㅏㅇㅅㅣ	얼어 죽은 시체.
강요	ㄱㅏㅇㅇㅛ	어떤 일을 강제로 요구함.
강우	ㄱㅏㅇㅇㅜ	비가 내리는 것.
강자	ㄱㅏㅇㅈㅏ	힘이나 세력이 강한 자.
강조	ㄱㅏㅇㅈㅗ	어떤 것을 특히 두드러지게 하거나 강하게 주장함.
강타	ㄱㅏㅇㅌㅏ	세게 침.
강토	ㄱㅏㅇㅌㅗ	나라 안의 땅.
강하	ㄱㅏㅇㅎㅏ	강과 하천.
강호	ㄱㅏㅇㅎㅗ	강과 호수.
개가	ㄱㅏㅣㄱㅏ	결혼했던 여자가 남편과 사별하거나 이혼한 후 다른 남자와 다시 결혼함.
개교	ㄱㅏㅣㄱㅛ	학교를 세우고 운영을 시작함.
개그	ㄱㅏㅣㄱㅡ	연극이나 텔레비전 프로그램 등에서 우스운 말이나 행동으로 사람을 웃기는 일.
개미	ㄱㅏㅣㅁㅣ	주로 기어 다니며 땅 속에 굴을 파고 떼를 지어 사는, 작고 허리가 가는 곤충.
개비	ㄱㅏㅣㅂㅣ	일정하게 가늘고 짤막하게 만든 물건.
개수	ㄱㅏㅣㅅㅜ	하나씩 세는 물건의 수.
개시	ㄱㅏㅣㅅㅣ	시장을 처음 열어 물건을 팔고 사기 시작함.
개요	ㄱㅏㅣㅇㅛ	전체 내용 중에서 주요 내용을 뽑아 간략히 정리한 것.
개조	ㄱㅏㅣㅈㅗ	고쳐 새롭게 만들거나 바꿈.
개표	ㄱㅏㅣㅍㅛ	차표나 입장권 등을 입구에서 검사함.
거개	ㄱㅓㄱㅏㅣ	거의 대부분.
거국	ㄱㅓㄱㅜㄱ	온 나라.
거금	ㄱㅓㄱㅡㅁ	아주 많은 돈.
거대	ㄱㅓㄷㅏㅣ	엄청나게 큼.
거덜	ㄱㅓㄷㅓㄹ	재산이나 살림이 거의 없어지는 것.
거동	ㄱㅓㄷㅗㅇ	몸을 움직임. 또는 그러한 태도나 행동.
거들	ㄱㅓㄷㅡㄹ	아랫배를 누르고 허리를 조임으로써 몸매를 날씬하게 보이도록 하는 여자의 아랫도리 속옷.
거래	ㄱㅓㄹㅏㅣ	돈이나 물건을 주고받거나 사고팖.
거론	ㄱㅓㄹㅗㄴ	어떤 것을 이야기의 주제나 문제로 삼아 논의함.
거름	ㄱㅓㄹㅡㅁ	식물이 잘 자라도록 땅에 뿌리거나 섞는 물질.
거만	ㄱㅓㅁㅏㄴ	잘난 체하며 자기보다 남을 낮추어 봄.
거명	ㄱㅓㅁㅕㅇ	이름을 입에 올려 말함.
거목	ㄱㅓㅁㅗㄱ	매우 굵고 큰 나무.
거물	ㄱㅓㅁㅜㄹ	어떤 분야에서 큰 영향력을 지닌 사람.
거봉	ㄱㅓㅂㅗㅇ	매우 크고 높은 봉우리.
거북	ㄱㅓㅂㅜㄱ	몸은 납작한 타원형이고 목이 짧으며, 단단한 등껍질이 있어 머리와 꼬리, 네 발을 그 안에 움츠려 넣을 수 있는 동물.
거상	ㄱㅓㅅㅏㅇ	큰 규모의 장사를 하거나 돈이 많은 상인.
거성	ㄱㅓㅅㅓㅇ	다른 별에 비해 매우 밝고 큰 별.
거세	ㄱㅓㅅㅓㅣ	남자나 수컷의 생식 기능을 제거함.
거실	ㄱㅓㅅㅣㄹ	서양식 집에서, 가족이 모여서 생활하거나 손님을 맞는 중심 공간.
거역	ㄱㅓㅇㅕㄱ	윗사람의 뜻이나 명령 등을 따르지 않고 거스름.
거울	ㄱㅓㅇㅜㄹ	물체의 모양을 비추어 보는 얇고 평평한 물건.
거웃	ㄱㅓㅇㅜㅅ	사람의 성기 주위에 난 털.
거위	ㄱㅓㅇㅜㅣ	털은 하얗고 부리는 노란색이며 목이 긴, 오리처럼 생긴 새.
거의	ㄱㅓㅇㅡㅣ	전부에서 조금 모자란 정도.
거인	ㄱㅓㅇㅣㄴ	보통 사람보다 몸과 키가 훨씬 큰 사람.
거장	ㄱㅓㅈㅏㅇ	특정 분야에서 능력이나 실력이 뛰어난 사람.
거적	ㄱㅓㅈㅓㄱ	바닥에 깔거나 위에 덮기 위해 짚으로 넓적하게 짠 물건.
거절	ㄱㅓㅈㅓㄹ	다른 사람의 부탁이나 제안, 선물 등을 받아들이지 않음.
거점	ㄱㅓㅈㅓㅁ	어떤 활동을 하는 데에 중심이 되는 중요한 지점.
거죽	ㄱㅓㅈㅜㄱ	사물이나 생물의 겉 부분.
거짓	ㄱㅓㅈㅣㅅ	사실이 아닌 것을 사실처럼 꾸민 것.
거취	ㄱㅓㅊㅜㅣ	어떤 사람이 간 곳이나 가야 할 방향.
거품	ㄱㅓㅍㅜㅁ	액체 속에 공기가 들어가 만들어진 속이 빈 둥근 방울.
건기	ㄱㅓㄴㄱㅣ	비가 별로 내리지 않아 메마른 시기.
건너	ㄱㅓㄴㄴㅓ	어떤 곳 너머의 맞은편.
건사	ㄱㅓㄴㅅㅏ	사람을 잘 보살피고 돌봄.
건수	ㄱㅓㄴㅅㅜ	특정한 사건이 일어난 횟수.
건아	ㄱㅓㄴㅇㅏ	씩씩하고 강한 젊은 남자.
건조	ㄱㅓㄴㅈㅗ	건축물이나 배 등을 설계하여 만듦.
건초	ㄱㅓㄴㅊㅗ	주로 짐승의 먹이나 거름으로 쓰는, 베어서 말린 풀.
건투	ㄱㅓㄴㅌㅜ	의지를 굽히지 않고 씩씩하게 잘 싸움.
걷기	ㄱㅓㄷㄱㅣ	걷는 것.
검거	ㄱㅓㅁㄱㅓ	수사 기관이 법을 어기거나 범죄를 저지른 사람을 잡아서 가두는 일.
검도	ㄱㅓㅁㄷㅗ	두 사람이 대나무로 만든 칼로 상대를 치거나 찔러 승패를 겨루는 경기.
검무	ㄱㅓㅁㅁㅜ	칼을 들고 휘두르면서 추는 춤.
검사	ㄱㅓㅁㅅㅏ	범죄를 수사하고 범인을 고발하는 사법 공무원.
검소	ㄱㅓㅁㅅㅗ	사치스럽거나 화려하지 않고 평범함.
검시	ㄱㅓㅁㅅㅣ	사망 원인이 범죄로 인한 것인지를 알기 위해 시체를 검사함.
검지	ㄱㅓㅁㅈㅣ	엄지손가락과 가운뎃손가락 사이에 있는 손가락. 둘째 손가락.
검토	ㄱㅓㅁㅌㅗ	내용을 자세히 따져 봄.
검표	ㄱㅓㅁㅍㅛ	담당 직원이 차표, 배표, 비행기 표 등을 검사함.
겁보	ㄱㅓㅂㅂㅗ	어떤 일에 쉽게 무서워하는 마음을 갖는 사람.
게시	ㄱㅓㅣㅅㅣ	여러 사람이 알 수 있도록 내걸어 두루 보게 함.
겨냥	ㄱㅕㄴㅑㅇ	어떤 사물을 활이나 총 등으로 맞추려고 겨눔.
겨레	ㄱㅕㄹㅓㅣ	같은 조상을 섬기며 역사를 함께하는 민족.
겨룸	ㄱㅕㄹㅜㅁ	누가 더 힘이 센지, 누가 더 뛰어난지 드러나도록 싸움.
겨울	ㄱㅕㅇㅜㄹ	네 계절 중의 하나로 가을과 봄 사이의 추운 계절.
격노	ㄱㅕㄱㄴㅗ	몹시 화를 냄.
격려	ㄱㅕㄱㄹㅕ	용기나 의욕이 생기도록 기운을 북돋아 줌.
격리	ㄱㅕㄱㄹㅣ	다른 것과 서로 통하지 못하게 사이를 막거나 떼어 놓음.
격무	ㄱㅕㄱㅁㅜ	몹시 바쁘고 힘든 일.
격자	ㄱㅕㄱㅈㅏ	가로와 세로를 일정한 간격으로 직각이 되도록 짠 구조나 물건. 또는 그런 형식.
격조	ㄱㅕㄱㅈㅗ	예술 작품에서 내용과 구성의 조화로 이루어지는 예술적 분위기 또는 멋.
격주	ㄱㅕㄱㅈㅜ	한 주일을 빼고 넘어감. 또는 중간에 한 주일씩 계속 빼고 넘어감.
격차	ㄱㅕㄱㅊㅏ	수준이나 품질, 수량 등이 서로 벌어진 차이.
격추	ㄱㅕㄱㅊㅜ	날아가는 비행 물체를 공격하여 떨어뜨림.
격투	ㄱㅕㄱㅌㅜ	서로 맨몸으로 맞붙어 치고받으며 심하게 싸움.
격파	ㄱㅕㄱㅍㅏ	단단한 물체를 맨손이나 발, 머리로 쳐서 깨뜨림.
격하	ㄱㅕㄱㅎㅏ	자격이나 등급, 지위 등이 낮아짐. 또는 그렇게 함.
견사	ㄱㅕㄴㅅㅏ	비단을 짜는 데 쓰는, 누에고치에서 뽑은 실.
견우	ㄱㅕㄴㅇㅜ	견우와 직녀 이야기에 나오는 남자 목동. 은하수를 사이에 두고 직녀와 헤어져 있다가 일 년에 단 한 번, 음력 7월 7일에 까치와 까마귀가 놓아 준 다리인 오작교에서 직녀와 만날 수 있다고 한다.
견지	ㄱㅕㄴㅈㅣ	무엇을 바라보거나 판단하는 입장.
결구	ㄱㅕㄹㄱㅜ	편지나 시를 끝맺는 마지막 부분.
결사	ㄱㅕㄹㅅㅏ	죽음을 각오하고 있는 힘을 다함.
결여	ㄱㅕㄹㅇㅕ	있어야 할 것이 없거나 모자람.
결투	ㄱㅕㄹㅌㅜ	이기고 지는 것을 결정하기 위해 벌이는 싸움.
겸비	ㄱㅕㅁㅂㅣ	두 가지 이상을 함께 갖춤.
겸사	ㄱㅕㅁㅅㅏ	한 가지 일을 하는 김에 다른 일도 함께 함.
겸허	ㄱㅕㅁㅎㅓ	잘난 체 하지 않고 스스로 자신을 낮춤.
경고	ㄱㅕㅇㄱㅗ	위험한 일을 조심하거나 삼가도록 미리 일러서 주의를 줌. 또는 그 주의.
경구	ㄱㅕㅇㄱㅜ	인생의 진리나 가르침을 담은 짧은 문장.
경기	ㄱㅕㅇㄱㅣ	매매나 거래에 나타나는 호황, 불황과 같이 경제 분야에 관련되어 나타나는 상황.
경도	ㄱㅕㅇㄷㅗ	지구 위의 위치를 세로로 나타내는 것.
경로	ㄱㅕㅇㄹㅗ	노인을 공손히 받들어 모심.
경리	ㄱㅕㅇㄹㅣ	어떤 기관이나 단체에서 돈이나 물건을 내주고 받는 일. 또는 그런 일을 맡은 부서나 사람.
경마	ㄱㅕㅇㅁㅏ	말을 타고 일정한 거리를 달려 빠르기를 겨루는 경기.
경보	ㄱㅕㅇㅂㅗ	위험에 대비하여 주의하고 조심할 수 있도록 미리 알리는 일, 또는 그 보도나 신호.
경비	ㄱㅕㅇㅂㅣ	어떤 일을 하는 데 필요한 비용.
경사	ㄱㅕㅇㅅㅏ	바닥이 평평하지 않고 기울어진 부분, 또는 그런 상태나 정도.
경서	ㄱㅕㅇㅅㅓ	유교의 가르침을 써 놓은 책.
경시	ㄱㅕㅇㅅㅣ	어떤 대상을 중요하게 보지 않고 하찮게 여김.
경어	ㄱㅕㅇㅇㅓ	상대를 높이는 말.
경우	ㄱㅕㅇㅇㅜ	당연히 행하여야 할 바른 이치.
경유	ㄱㅕㅇㅇㅠ	목적지에 가는 도중 어떤 곳을 들르거나 지나감.
경이	ㄱㅕㅇㅇㅣ	놀랍고 신기하게 여김. 또는 그럴 만한 일.
경조	ㄱㅕㅇㅈㅗ	죽은 이를 존경하는 마음으로 슬픔을 표함.
경주	ㄱㅕㅇㅈㅜ	경상북도의 동남부에 있는 시. 오랫동안 신라의 수도였고 많은 문화유산이 있어 유명한 관광 도시이다.
경지	ㄱㅕㅇㅈㅣ	학문이나 예술 등에서 일정한 특성과 체계를 갖춘 독자적인 범주나 부분.
경차	ㄱㅕㅇㅊㅏ	무게가 가볍고 크기가 작은 승용차.
경추	ㄱㅕㅇㅊㅜ	목에 있는 일곱 개의 뼈.
경치	ㄱㅕㅇㅊㅣ	자연이나 지역의 아름다운 모습.
경호	ㄱㅕㅇㅎㅗ	위험한 일에 대비하여 중요한 사람이나, 물건, 시설 등을 보호함.
계교	ㄱㅕㅣㄱㅛ	생각을 많이 하여 짜낸 꾀.
계기	ㄱㅕㅣㄱㅣ	어떤 일이 일어나거나 결정되도록 하는 원인이나 기회.
계도	ㄱㅕㅣㄷㅗ	사람들을 가르치고 지도함.
계모	ㄱㅕㅣㅁㅗ	아버지가 새로 결혼해서 생긴 어머니.
계보	ㄱㅕㅣㅂㅗ	조상 때부터 내려오는 한 집안의 혈통과 역사를 적은 책.
계부	ㄱㅕㅣㅂㅜ	어머니가 새로 결혼해서 생긴 아버지.
계수	ㄱㅕㅣㅅㅜ	문자와 숫자로 된 수학식에서 기호 문자 앞에 붙는 숫자.
계시	ㄱㅕㅣㅅㅣ	신적인 존재나 초자연적인 현상을 통하여 사람이 알아낼 수 없는 진리를 알게 함. 또는 그런 진리.
계주	ㄱㅕㅣㅈㅜ	일정한 거리를 나누어 몇 사람이 차례대로 이어 달리는 경기.
계파	ㄱㅕㅣㅍㅏ	정치에서 같은 이해 관계를 가진 사람들의 조직.
계피	ㄱㅕㅣㅍㅣ	향료나 한약재로 쓰며, 매운 향이 나고 붉은 갈색인 계수나무의 속껍질.
고갈	ㄱㅗㄱㅏㄹ	물이 말라서 없어짐.
고개	ㄱㅗㄱㅏㅣ	목을 포함한 머리 부분.
고견	ㄱㅗㄱㅕㄴ	뛰어난 의견이나 생각.
고공	ㄱㅗㄱㅗㅇ	높은 공중.
고국	ㄱㅗㄱㅜㄱ	남의 나라에 가 있는 사람이 말하는 '자기 나라'.
고궁	ㄱㅗㄱㅜㅇ	옛날에 임금이 살던 집.
고귀	ㄱㅗㄱㅜㅣ	훌륭하고 귀중함.
고금	ㄱㅗㄱㅡㅁ	옛날과 지금.
고급	ㄱㅗㄱㅡㅂ	물건이나 시설 등의 품질이 뛰어남.
고난	ㄱㅗㄴㅏㄴ	매우 괴롭고 어려움.
고뇌	ㄱㅗㄴㅗㅣ	괴로워하며 생각을 하고 고민함.
고담	ㄱㅗㄷㅏㅁ	고것에 뒤이어 오는 때나 자리.
고대	ㄱㅗㄷㅏㅣ	원시 시대와 중세 사이의 아주 옛 시대.
고독	ㄱㅗㄷㅗㄱ	세상에 혼자 있는 듯이 외롭고 쓸쓸함.
고동	ㄱㅗㄷㅗㅇ	증기 기관으로 움직이는 배에서 신호로 내보내는 큰 소리.
고둥	ㄱㅗㄷㅜㅇ	나사와 같이 둥글게 말려있는 모양의 단단한 껍데기를 가지며 물속에서 사는 동물.
고등	ㄱㅗㄷㅡㅇ	상대적으로 높은 등급이나 수준.
고딕	ㄱㅗㄷㅣㄱ	획이 일정하게 굵고 반듯한 글자 꼴.
고락	ㄱㅗㄹㅏㄱ	괴로움과 즐거움.
고랑	ㄱㅗㄹㅏㅇ	밭에 작물을 심기 위해 흙을 쌓아 올려 길게 만든 언덕과 언덕 사이로 움푹하게 파인 곳.
고래	ㄱㅗㄹㅏㅣ	몸집이 매우 크며 물고기처럼 생긴, 바다에 사는 동물.
고령	ㄱㅗㄹㅕㅇ	나이가 많음. 또는 많은 나이.
고름	ㄱㅗㄹㅡㅁ	상처에 염증이 생겼을 때 피부에서 나오는 걸쭉하고 불투명한 액체.
고립	ㄱㅗㄹㅣㅂ	다른 곳이나 사람과 교류하지 못하고 혼자 따로 떨어짐.
고막	ㄱㅗㅁㅏㄱ	소리를 들을 수 있게 하는 귀 안쪽의 얇은 막.
고명	ㄱㅗㅁㅕㅇ	음식의 맛이나 모양을 더 좋게 하려고 손질하여 음식 위에 뿌리거나 얹는 재료.
고목	ㄱㅗㅁㅗㄱ	오래된 큰 나무.
고문	ㄱㅗㅁㅜㄴ	옛 글.
고물	ㄱㅗㅁㅜㄹ	맛과 모양을 더하기 위하여 떡의 겉에 묻히는 가루.
고민	ㄱㅗㅁㅣㄴ	마음속에 걱정거리가 있어 괴로워하고 계속 신경 씀.
고발	ㄱㅗㅂㅏㄹ	감춰져 있던 잘못이나 비리 등을 공개적으로 많은 사람에게 알림.
고배	ㄱㅗㅂㅏㅣ	(비유적으로) 주로 실패로 인한 쓰라린 경험.
고별	ㄱㅗㅂㅕㄹ	같이 있던 사람들에게 헤어짐을 알림.
고봉	ㄱㅗㅂㅗㅇ	밥이나 곡식 등을 그릇에 수북하게 담는 것.
고분	ㄱㅗㅂㅜㄴ	아주 먼 옛날에 만들어진 무덤.
